game_id,rating_board,rating_value,descriptors
game_000070,steam_germany,16,"Drastische Gewalt
Derbe Sprache"
game_000070,igrs,18,"Kekerasan
Penggunaan bahasa
Interaksi Daring"
game_000071,dejus,16,"Violência fantasiosa
Atos criminosos
Violência
Violência Extrema
Temas sensíveis
Linguagem imprópria"
game_000071,steam_germany,18,"Drastische Gewalt
Schimpfwörte"
game_000071,igrs,18,"Kekerasan
Penggunaan bahasa"
game_000072,dejus,14,Violência
game_000072,esrb,t,"Alcohol Reference
Blood
Mild Language
Suggestive Themes
Violence"
game_000072,steam_germany,12,"Sexuelle Andeutungen
Gewalt
Alkohol / Tabak"
game_000072,igrs,18,"Penampilan Tokoh
Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Penggunaan bahasa"
game_000073,esrb,e,
game_000073,pegi,3,
game_000073,usk,0,
game_000073,dejus,14,
game_000073,steam_germany,12,
game_000073,igrs,3,
