game_id,genre_id
game_000603,1
game_000603,4
game_000603,23
game_000603,9
game_000603,18
game_000604,1
game_000604,23
game_000605,28
game_000605,2
game_000606,25
game_000607,25
game_000607,4
game_000607,23
game_000607,29
game_000607,3
game_000607,2
game_000607,37
game_000608,1
game_000609,28
game_000610,25
game_000610,23
game_000610,28
game_000611,1
game_000611,4
game_000611,3
game_000611,2
game_000612,1
game_000612,29
game_000612,3
game_000612,2
game_000612,37
game_000613,1
game_000613,25
game_000614,1
game_000614,37
game_000614,23
game_000615,28
game_000616,1
game_000616,25
game_000616,23
game_000617,23
game_000618,1
game_000618,25
game_000618,23
game_000618,28
game_000619,4
game_000619,23
game_000619,28
game_000619,2
game_000620,1
game_000620,25
game_000620,23
game_000620,28
game_000621,1
game_000621,25
game_000621,4
game_000622,1
game_000622,3
game_000623,23
game_000624,2
game_000625,28
game_000625,2
game_000626,1
game_000626,23
game_000626,28
game_000627,4
game_000627,23
game_000627,28
game_000628,1
game_000628,25
game_000628,23
game_000628,3
game_000629,9
game_000629,28
game_000629,18
game_000630,2
game_000631,1
game_000631,23
game_000631,29
game_000631,37
game_000631,70
game_000632,1
game_000632,4
game_000632,23
game_000632,29
game_000632,2
game_000633,1
game_000633,3
game_000634,1
game_000635,1
game_000635,25
game_000635,3
game_000636,1
game_000636,3
game_000637,23
game_000637,3
game_000637,2
game_000638,25
game_000638,23
game_000639,23
game_000639,3
game_000639,2
game_000640,1
game_000640,25
game_000640,4
game_000641,1
game_000641,37
game_000641,70
game_000642,1
game_000642,4
game_000642,2
game_000643,1
game_000643,25
game_000643,23
game_000644,1
game_000644,25
game_000644,3
game_000645,25
game_000645,2
game_000646,25
game_000646,23
game_000646,3
game_000646,28
game_000647,1
game_000647,23
game_000647,29
game_000647,3
game_000647,37
game_000648,1
game_000648,23
game_000648,29
game_000648,28
game_000648,2
game_000648,70
game_000649,4
game_000649,23
game_000650,1
game_000650,25
game_000650,4
game_000650,23
game_000650,28
game_000651,28
game_000652,25
game_000652,3
game_000653,2
game_000654,1
game_000655,23
game_000655,28
game_000656,1
game_000656,25
game_000656,3
game_000657,25
game_000657,23
game_000657,28
game_000657,2
game_000658,1
game_000658,2
game_000659,1
game_000659,23
game_000660,2
game_000661,28
game_000662,1
game_000662,25
game_000663,1
game_000663,25
game_000663,23
game_000664,1
game_000664,23
game_000665,1
game_000665,25
game_000666,1
game_000666,3
game_000667,1
game_000667,25
game_000668,28
game_000668,2
game_000669,25
game_000669,23
game_000669,3
game_000669,2
game_000670,28
game_000670,18
game_000671,23
game_000671,28
game_000671,2
game_000672,25
game_000672,4
game_000672,37
game_000672,23
game_000672,28
game_000673,1
game_000674,1
game_000674,23
game_000674,28
game_000674,2
game_000675,1
game_000675,25
game_000675,23
game_000676,1
game_000677,28
game_000677,18
game_000678,25
game_000678,3
game_000679,23
game_000679,28
game_000679,2
game_000680,25
game_000681,1
game_000681,28
game_000681,2
game_000682,1
game_000682,25
game_000682,23
game_000682,29
game_000682,3
game_000682,28
game_000682,2
game_000683,1
game_000683,25
game_000683,2
game_000684,1
game_000685,28
game_000685,2
game_000686,1
game_000686,25
game_000686,3
game_000687,1
game_000687,3
game_000688,1
game_000688,25
game_000688,23
game_000688,56
game_000688,57
game_000689,1
game_000689,4
game_000689,23
game_000689,37
game_000690,23
game_000690,3
game_000690,28
game_000691,1
game_000691,25
game_000691,3
game_000691,28
game_000692,25
game_000692,4
game_000693,1
game_000693,25
game_000693,28
game_000694,25
game_000695,1
game_000695,23
game_000696,1
game_000696,25
game_000696,4
game_000696,23
game_000696,29
game_000696,3
game_000696,28
game_000697,1
game_000697,25
game_000697,3
game_000698,1
game_000698,3
game_000699,1
game_000699,3
game_000700,25
game_000700,23
game_000700,3
game_000700,2
game_000701,1
game_000702,1
game_000702,18
game_000703,1
game_000703,29
game_000703,3
game_000703,37
game_000704,1
game_000704,25
game_000704,23
game_000704,3
game_000704,2
game_000705,1
game_000705,28
game_000705,2
game_000706,1
game_000706,23
game_000706,3
game_000707,25
game_000707,4
game_000707,23
game_000708,25
game_000709,1
game_000710,1
game_000710,4
game_000710,23
game_000711,1
game_000712,1
game_000712,25
game_000713,1
game_000713,25
game_000713,23
game_000714,1
game_000714,25
game_000715,23
game_000715,3
game_000716,37
game_000716,23
game_000716,28
game_000717,23
game_000717,9
game_000717,28
game_000718,25
game_000718,3
game_000718,70
game_000719,1
game_000719,25
game_000720,25
game_000720,23
game_000720,3
game_000720,2
game_000720,70
game_000721,1
game_000721,25
game_000721,23
game_000721,37
game_000722,1
game_000722,25
game_000723,25
game_000723,23
game_000724,25
game_000724,23
game_000725,9
game_000725,28
game_000726,23
game_000726,28
game_000726,2
game_000727,25
game_000728,1
game_000728,25
game_000729,1
game_000729,23
game_000729,3
game_000730,1
game_000730,23
game_000731,23
game_000731,28
game_000731,70
game_000732,3
game_000732,2
game_000732,37
game_000733,25
game_000733,23
game_000733,3
game_000733,2
game_000734,1
game_000734,25
game_000734,23
game_000734,2
game_000735,3
game_000736,1
game_000737,1
game_000738,1
game_000738,4
game_000738,18
game_000739,1
game_000739,2
game_000739,37
game_000740,25
game_000740,23
game_000740,3
game_000740,2
game_000741,1
game_000741,25
game_000741,9
game_000741,18
game_000741,2
game_000742,1
game_000742,23
game_000742,3
game_000743,25
game_000743,23
game_000744,4
game_000744,23
game_000744,28
game_000744,18
game_000745,25
game_000745,23
game_000746,1
game_000746,25
game_000747,25
game_000747,4
game_000747,23
game_000748,1
game_000748,25
game_000749,1
game_000749,25
game_000749,23
game_000750,1
game_000750,25
game_000751,23
