game_id,dlc_steam_appid
game_000092,3117120
game_000092,3117130
game_000092,3117140
game_000092,3117170
game_000092,3157720
game_000092,3157730
game_000092,3117180
game_000092,3117190
game_000092,3117200
game_000092,3117210
game_000092,3117220
game_000092,3117230
game_000092,3289620
game_000092,3336850
game_000092,3336890
game_000092,3117250
game_000092,3117260
game_000092,3117280
game_000092,3117290
game_000092,3117370
game_000092,3117430
game_000092,3117440
game_000092,3117450
game_000092,3117460
game_000092,3117500
game_000092,3117300
game_000092,3117310
game_000092,3117320
game_000092,3117330
game_000092,3117340
game_000092,3117350
game_000092,3117520
game_000092,3117530
game_000092,3117540
game_000092,3117550
game_000092,3117510
game_000092,3117560
game_000092,3360450
game_000092,3360460
game_000092,3360470
game_000092,3360480
game_000092,3289640
game_000092,3289650
game_000092,3289700
game_000092,3289710
game_000092,3289660
game_000092,3289670
game_000092,3289680
game_000092,3289690
game_000092,3360490
game_000092,3360500
game_000092,3360510
game_000092,3360520
game_000092,3502660
game_000092,3360530
game_000092,3410850
game_000092,3289720
game_000092,3289730
game_000092,3289740
game_000092,3289750
game_000092,3289760
game_000092,3289830
game_000092,3289840
game_000092,3289850
game_000092,3289770
game_000092,3289780
game_000092,3289790
game_000092,3289800
game_000092,3289810
game_000092,3289820
game_000092,3289860
game_000092,3289870
game_000092,3289880
game_000092,3289890
game_000092,3619120
game_000092,3619130
game_000092,3619140
game_000092,3619150
game_000092,3619160
game_000092,3619170
game_000092,3619180
game_000092,3619190
game_000092,3289900
game_000092,3289910
game_000092,3360540
game_000092,3360550
game_000092,3289960
game_000092,3289980
game_000092,3289920
game_000092,3289930
game_000092,3289940
game_000092,3289950
game_000092,3619200
game_000092,3619210
game_000092,3619220
game_000092,3696220
game_000092,3696230
game_000092,3696240
game_000092,3696250
game_000092,3696260
game_000092,3696270
game_000092,3696280
game_000092,3696290
game_000092,3696300
game_000092,3767510
game_000092,3767520
game_000092,3696310
game_000092,3696340
game_000092,3696350
game_000092,3696360
game_000092,3696480
game_000092,3747820
game_000092,3747830
game_000092,3747840
game_000092,3747850
game_000092,3747860
game_000092,3801040
game_000092,3336910
game_000092,3336920
game_000092,3336930
game_000092,3696370
game_000092,3696380
game_000092,3696390
game_000092,3696400
game_000092,3696420
game_000092,3696430
game_000092,3696440
game_000092,3696450
game_000092,3696460
game_000092,3767530
game_000092,3772970
game_000092,3696470
game_000092,3696610
game_000092,3696620
game_000092,3696630
game_000092,3696640
game_000092,3696750
game_000092,3696760
game_000092,3696770
game_000092,3696780
game_000092,3696790
game_000092,3696800
game_000092,3696810
game_000092,3696820
game_000092,3696830
game_000092,3696840
game_000092,3696850
game_000092,3696860
game_000092,3696870
game_000092,3696890
game_000092,3696900
game_000092,3696910
game_000092,3696920
game_000092,3696930
game_000092,3932400
game_000092,3932410
game_000092,3932420
game_000092,3932430
game_000092,3932440
game_000092,3932450
game_000092,3959310
game_000092,3959320
game_000092,3959330
game_000092,3959340
game_000092,3959350
game_000092,3932460
game_000092,3117390
game_000092,3117400
game_000092,3968920
game_000092,3696940
game_000092,3696950
game_000092,3696960
game_000092,3696970
game_000092,3932490
game_000092,3932500
game_000092,3696980
game_000092,3696990
game_000092,3697010
game_000092,3697020
game_000092,3697030
game_000092,3697050
game_000092,3885660
game_000092,3968930
game_000092,3767550
game_000092,3767560
game_000092,3696510
game_000092,3308900
game_000093,4110940
game_000094,645390
game_000094,436090
game_000094,3311770
game_000095,581450
game_000095,366843
game_000095,366849
game_000095,830450
game_000095,830451
game_000095,830460
game_000095,830461
game_000097,632870
game_000098,717250
game_000099,4686020
game_000099,4012030
game_000099,4326750
game_000099,4044570
game_000099,4062350
game_000099,3486070
game_000099,3925370
game_000099,3165860
game_000099,3165850
game_000099,2974490
game_000099,2826950
game_000099,2521990
game_000099,453400
game_000099,2598380
game_000099,2820320
game_000099,2522000
game_000099,2584870
game_000099,2222341
game_000099,2222342
game_000099,2417351
game_000099,2417350
game_000099,2222340
game_000099,1123920
game_000100,3022790
game_000100,2380740
game_000100,1826140
game_000100,1392840
game_000100,1149640
game_000100,367680
game_000100,990430
game_000100,3689230
game_000100,2914900
game_000100,1244270
game_000101,1195480
game_000102,1098291
game_000102,1098292
game_000102,1098293
game_000102,4764470
game_000103,235580
game_000103,16870
game_000103,235584
game_000103,235585
game_000103,16868
game_000103,16860
game_000103,16861
game_000103,16862
game_000103,16863
game_000103,16867
game_000103,99610
game_000103,99611
game_000103,16866
game_000103,99614
game_000103,99612
game_000106,4612850
game_000106,3833090
game_000106,3453200
game_000106,2456710
game_000106,2370460
game_000106,2370700
game_000106,2370710
game_000106,2269810
game_000106,2269820
game_000106,2156750
game_000106,2330980
game_000106,2217480
game_000106,1537622
game_000106,1888510
game_000106,2370480
game_000107,1238851
game_000107,1314765
game_000107,1314764
game_000107,1314763
